ref,footprint,x_mm,y_mm,rotation,layer
LED196,LED_APA-102-2020-256-8:APA102_5050,2.0,158.0,0.0,F.Cu
LED197,LED_APA-102-2020-256-8:APA102_5050,24.0,154.0,0.0,F.Cu
LED198,LED_APA-102-2020-256-8:APA102_5050,28.0,154.0,0.0,F.Cu
LED199,LED_APA-102-2020-256-8:APA102_5050,24.0,158.0,0.0,F.Cu
LED200,LED_APA-102-2020-256-8:APA102_5050,28.0,158.0,0.0,F.Cu
LED201,LED_APA-102-2020-256-8:APA102_5050,50.0,154.0,0.0,F.Cu
LED202,LED_APA-102-2020-256-8:APA102_5050,54.0,154.0,0.0,F.Cu
LED203,LED_APA-102-2020-256-8:APA102_5050,50.0,158.0,0.0,F.Cu
LED204,LED_APA-102-2020-256-8:APA102_5050,54.0,158.0,0.0,F.Cu
LED205,LED_APA-102-2020-256-8:APA102_5050,76.0,154.0,0.0,F.Cu
LED206,LED_APA-102-2020-256-8:APA102_5050,80.0,154.0,0.0,F.Cu
LED207,LED_APA-102-2020-256-8:APA102_5050,76.0,158.0,0.0,F.Cu
LED208,LED_APA-102-2020-256-8:APA102_5050,80.0,158.0,0.0,F.Cu
LED209,LED_APA-102-2020-256-8:APA102_5050,102.0,154.0,0.0,F.Cu
LED210,LED_APA-102-2020-256-8:APA102_5050,106.0,154.0,0.0,F.Cu
LED211,LED_APA-102-2020-256-8:APA102_5050,102.0,158.0,0.0,F.Cu
LED212,LED_APA-102-2020-256-8:APA102_5050,106.0,158.0,0.0,F.Cu
LED213,LED_APA-102-2020-256-8:APA102_5050,128.0,154.0,0.0,F.Cu
LED214,LED_APA-102-2020-256-8:APA102_5050,132.0,154.0,0.0,F.Cu
LED215,LED_APA-102-2020-256-8:APA102_5050,128.0,158.0,0.0,F.Cu
LED216,LED_APA-102-2020-256-8:APA102_5050,132.0,158.0,0.0,F.Cu
LED217,LED_APA-102-2020-256-8:APA102_5050,154.0,154.0,0.0,F.Cu
LED218,LED_APA-102-2020-256-8:APA102_5050,158.0,154.0,0.0,F.Cu
LED219,LED_APA-102-2020-256-8:APA102_5050,154.0,158.0,0.0,F.Cu
LED220,LED_APA-102-2020-256-8:APA102_5050,158.0,158.0,0.0,F.Cu
LED221,LED_APA-102-2020-256-8:APA102_5050,180.0,154.0,0.0,F.Cu
LED222,LED_APA-102-2020-256-8:APA102_5050,184.0,154.0,0.0,F.Cu
LED223,LED_APA-102-2020-256-8:APA102_5050,180.0,158.0,0.0,F.Cu
LED224,LED_APA-102-2020-256-8:APA102_5050,184.0,158.0,0.0,F.Cu
LED225,LED_APA-102-2020-256-8:APA102_5050,-2.0,180.0,0.0,F.Cu
LED226,LED_APA-102-2020-256-8:APA102_5050,2.0,180.0,0.0,F.Cu
